Date,Open,High,Low,Close,Volume,Change
2015-01-02,179000,185000,179000,182500,18159,0.008287292817679592
2015-01-05,181500,183500,179000,180000,23019,-0.013698630136986356
2015-01-06,177500,178500,170500,172000,62694,-0.0444444444444444
2015-01-07,172000,173500,170000,172000,13671,0.0
2015-01-08,171500,175500,171500,173500,18737,0.008720930232558155
2015-01-09,176500,177000,173500,174000,16018,0.0028818443804035088
2015-01-12,174500,175500,172500,174500,8488,0.002873563218390718
2015-01-13,175500,175500,170500,171000,36277,-0.02005730659025784
2015-01-14,171500,175500,171500,174500,19715,0.020467836257309857
2015-01-15,174500,175500,171500,174000,16371,-0.002865329512893977
2015-01-16,173000,174000,169000,171500,17125,-0.014367816091954033
2015-01-19,172000,173000,170500,171000,14286,-0.002915451895043719
2015-01-20,170500,172000,168500,169000,29786,-0.011695906432748537
2015-01-21,168500,169000,164000,166000,54905,-0.017751479289940808
2015-01-22,166500,168500,165000,165000,27922,-0.0060240963855421326
2015-01-23,166000,167500,164000,165000,39540,0.0
2015-01-26,164000,164500,159000,160000,64875,-0.030303030303030276
2015-01-27,161000,163500,160500,163000,44242,0.018750000000000044
2015-01-28,161000,162500,158500,160000,80351,-0.018404907975460127
2015-01-29,159500,165500,159000,164000,76559,0.02499999999999991
2015-01-30,165500,166000,159000,161000,59084,-0.018292682926829285
2015-02-02,160500,163500,160000,162500,33401,0.009316770186335477
2015-02-03,164000,166000,163500,164000,48712,0.009230769230769154
2015-02-04,166000,176000,165000,175500,125727,0.07012195121951215
2015-02-05,176000,178000,171500,175500,53281,0.0
2015-02-06,174000,174500,169000,170000,57610,-0.031339031339031376
2015-02-09,168500,173500,166500,168500,27497,-0.008823529411764675
2015-02-10,169500,171500,167000,167500,16593,-0.005934718100890191
2015-02-11,169000,170000,166000,168500,29032,0.005970149253731405
2015-02-12,171000,171000,163500,165000,46235,-0.020771513353115778
2015-02-13,164000,165000,161500,162500,53876,-0.015151515151515138
2015-02-16,162500,163000,160000,161000,36417,-0.009230769230769265
2015-02-17,161000,163000,160500,163000,15596,0.012422360248447228
2015-02-23,163500,168000,163000,165500,32166,0.015337423312883347
2015-02-24,165500,168000,163000,167500,90727,0.012084592145015005
2015-02-25,168000,174500,168000,173500,72795,0.035820895522387985
2015-02-26,173500,177000,172000,173000,74711,-0.0028818443804035088
2015-02-27,173500,176000,169000,172500,39716,-0.0028901734104046506
2015-03-02,172500,172500,169000,169500,35842,-0.017391304347826098
2015-03-03,170000,172000,168000,170000,54248,0.002949852507374562
2015-03-04,169500,173000,169500,170500,39060,0.002941176470588225
2015-03-05,170500,175000,169000,173500,35926,0.017595307917888547
2015-03-06,173500,174500,170500,174000,29951,0.0028818443804035088
2015-03-09,173500,175000,172500,175000,28112,0.005747126436781658
2015-03-10,174500,176000,171500,174000,29780,-0.005714285714285672
2015-03-11,172000,174000,169500,170500,40283,-0.02011494252873558
2015-03-12,170500,174500,170000,172500,46013,0.011730205278592365
2015-03-13,174500,176500,173500,174000,32693,0.008695652173912993
2015-03-16,175000,176500,171000,171500,27433,-0.014367816091954033
2015-03-17,171000,174000,170500,172500,38277,0.005830903790087438
2015-03-18,171000,172000,166000,167500,74952,-0.02898550724637683
2015-03-19,168500,171000,167500,169000,41220,0.008955223880596996
2015-03-20,170000,171000,167500,169500,19225,0.002958579881656709
2015-03-23,171000,172500,169000,170000,24011,0.002949852507374562
2015-03-24,171500,173500,170000,172000,34842,0.0117647058823529
2015-03-25,171000,174000,170500,171000,28399,-0.005813953488372103
2015-03-26,171000,171500,167000,167500,44204,-0.020467836257309968
2015-03-27,167500,170500,167000,168500,23988,0.005970149253731405
2015-03-30,169000,170500,166000,168000,31690,-0.0029673590504450953
2015-03-31,168000,169000,166500,168500,24925,0.0029761904761904656
2015-04-01,168500,169000,167500,168000,28236,-0.0029673590504450953
2015-04-02,168000,171500,167500,168000,42270,0.0
2015-04-03,168500,172500,168000,171500,27454,0.02083333333333326
2015-04-06,171500,172000,169000,170000,15550,-0.008746355685131157
2015-04-07,170000,171000,168000,169000,17071,-0.00588235294117645
2015-04-08,169000,169500,167500,168000,21967,-0.00591715976331364
2015-04-09,169000,169000,164000,165500,38286,-0.014880952380952328
2015-04-10,165500,169000,165000,167500,45866,0.012084592145015005
2015-04-13,170000,173000,168000,171000,52724,0.020895522388059806
2015-04-14,171500,190000,171500,190000,238925,0.11111111111111116
2015-04-15,190000,192500,183000,185000,128712,-0.02631578947368418
2015-04-16,185500,198000,184500,193000,200626,0.043243243243243246
2015-04-17,193000,201500,192500,198000,115860,0.02590673575129543
2015-04-20,193500,198000,191000,192000,76607,-0.030303030303030276
2015-04-21,196000,213000,194000,207500,254844,0.08072916666666674
2015-04-22,207000,222000,206000,222000,207119,0.06987951807228909
2015-04-23,222000,222000,210500,216000,74745,-0.027027027027026973
2015-04-24,215000,224000,205500,210500,115763,-0.02546296296296291
2015-04-27,209000,221000,205000,217500,95906,0.03325415676959631
2015-04-28,217500,217500,208000,208000,78589,-0.04367816091954024
2015-04-29,208500,211000,197500,200000,110303,-0.038461538461538436
2015-04-30,199500,205000,197000,201500,66974,0.007500000000000062
2015-05-04,203500,210500,203000,210000,43495,0.042183622828784184
2015-05-06,212000,213500,202500,204000,54626,-0.02857142857142858
2015-05-07,206000,206000,197500,199500,57860,-0.022058823529411797
2015-05-08,201000,210500,199500,208500,54066,0.04511278195488733
2015-05-11,210000,212000,206000,208000,42466,-0.0023980815347721673
2015-05-12,210500,212000,202500,208500,48055,0.0024038461538462563
2015-05-13,214500,233000,212000,230000,185426,0.10311750599520386
2015-05-14,230500,259500,229000,251500,297077,0.09347826086956523
2015-05-15,260000,274000,246000,254000,274211,0.00994035785288272
2015-05-18,254500,279500,253500,267000,186154,0.051181102362204633
2015-05-19,262500,267000,254000,259000,136387,-0.029962546816479363
2015-05-20,258500,271000,249000,266500,111482,0.02895752895752901
2015-05-21,270000,275000,260500,260500,61894,-0.022514071294559068
2015-05-22,260500,270000,255000,261000,73289,0.0019193857965451588
2015-05-26,262000,262000,247000,252000,78784,-0.03448275862068961
2015-05-27,249000,258000,242500,251000,72616,-0.003968253968253954
2015-05-28,249500,255000,248000,251000,77566,0.0
2015-05-29,256000,256000,243000,243000,76707,-0.031872509960159334
2015-06-01,243000,243000,234000,240000,65657,-0.012345679012345734
2015-06-02,237000,239000,229000,231500,107918,-0.03541666666666665
2015-06-03,231500,240000,227500,237500,78931,0.02591792656587466
2015-06-04,238000,248000,231000,247000,77508,0.040000000000000036
2015-06-05,247000,248000,230000,231500,92732,-0.06275303643724695
2015-06-08,227500,237000,223000,234000,83903,0.010799136069114423
2015-06-09,232000,239500,229000,237000,59461,0.012820512820512775
2015-06-10,237000,238500,229500,230500,43645,-0.02742616033755274
2015-06-11,232500,233500,229000,230000,39645,-0.002169197396963085
2015-06-12,230000,236000,229000,231500,55621,0.006521739130434856
2015-06-15,229500,234500,224500,232000,55829,0.002159827213822796
2015-06-16,229000,237000,225000,234500,84176,0.010775862068965525
2015-06-17,234500,240500,231000,236500,57753,0.008528784648187626
2015-06-18,239000,269500,239000,255000,154581,0.07822410147991543
2015-06-19,255500,257500,249000,253000,73288,-0.007843137254901933
2015-06-22,260500,297500,256500,294500,239714,0.16403162055335962
2015-06-23,286000,291000,279500,283000,168610,-0.039049235993208864
2015-06-24,283000,285000,270000,272500,152238,-0.03710247349823326
2015-06-25,272500,276500,267000,271500,114294,-0.003669724770642202
2015-06-26,271500,280500,268000,278500,131160,0.025782688766114115
2015-06-29,270000,277500,268000,268000,69627,-0.037701974865350096
2015-06-30,266000,273500,265000,268000,61103,0.0
2015-07-01,268000,277000,268000,268500,88305,0.001865671641791078
2015-07-02,272000,286500,268500,270000,119767,0.005586592178770999
2015-07-03,271500,273500,262500,270500,70438,0.0018518518518517713
2015-07-06,272000,284000,268000,270000,101318,-0.001848428835489857
2015-07-07,273000,274500,257000,262000,126399,-0.029629629629629672
2015-07-08,263500,271500,251500,251500,103318,-0.040076335877862634
2015-07-09,251000,259500,250500,256500,81974,0.01988071570576544
2015-07-10,263500,263500,232000,233500,222248,-0.08966861598440545
2015-07-13,205500,214000,199000,207500,904601,-0.11134903640256955
2015-07-14,211500,219000,208000,214500,335046,0.033734939759036076
2015-07-15,216500,218000,212000,216500,196789,0.00932400932400923
2015-07-16,216500,217000,210000,210500,137005,-0.02771362586605086
2015-07-17,212000,213500,208500,211000,74528,0.002375296912114022
2015-07-20,209500,215500,209000,214500,82325,0.016587677725118377
2015-07-21,215000,216000,208500,210000,62389,-0.020979020979020935
2015-07-22,210500,212000,208500,209000,76296,-0.004761904761904745
2015-07-23,209500,216000,208500,213500,68202,0.021531100478468845
2015-07-24,213500,216500,211000,214000,59452,0.0023419203747072626
2015-07-27,210000,212500,207000,207000,59105,-0.032710280373831724
2015-07-28,206500,207000,196500,201000,142064,-0.02898550724637683
2015-07-29,201000,202000,197500,199500,78681,-0.007462686567164201
2015-07-30,200000,213500,199000,212500,91293,0.06516290726817053
2015-07-31,212500,213500,205000,208000,108243,-0.02117647058823524
2015-08-03,211500,220000,211000,212500,144820,0.02163461538461542
2015-08-04,216000,236000,216000,231500,212929,0.0894117647058823
2015-08-05,240000,254500,239000,248000,271242,0.0712742980561556
2015-08-06,251000,252500,234000,239500,202888,-0.03427419354838712
2015-08-07,239500,242000,232500,236000,110937,-0.014613778705636737
2015-08-10,230000,231000,223000,226500,140794,-0.0402542372881356
2015-08-11,228000,233500,225500,229500,108723,0.013245033112582849
2015-08-12,226500,229000,216000,222000,129323,-0.0326797385620915
2015-08-13,222000,241500,222000,235000,135866,0.05855855855855863
2015-08-17,238500,245000,237000,243000,69847,0.03404255319148941
2015-08-18,244000,247000,236500,238500,49617,-0.01851851851851849
2015-08-19,234500,242000,231000,240000,72648,0.0062893081761006275
2015-08-20,239000,241500,229000,230000,41138,-0.04166666666666663
