Date,Open,High,Low,Close,Volume,Change
2015-01-02,31100,31250,30400,30400,194203,-0.03338632750397452
2015-01-05,30650,30700,29900,30000,174188,-0.013157894736842146
2015-01-06,29650,29700,29100,29300,237914,-0.023333333333333317
2015-01-07,29100,29550,29050,29250,125678,-0.0017064846416382506
2015-01-08,29300,29800,29200,29350,175300,0.0034188034188034067
2015-01-09,29750,30050,29450,29850,192450,0.017035775127768327
2015-01-12,29550,29650,29150,29200,175064,-0.021775544388609736
2015-01-13,29100,29100,28400,28650,262053,-0.018835616438356184
2015-01-14,28600,29000,28550,28900,211529,0.008726003490401313
2015-01-15,29050,29150,28800,29100,215092,0.006920415224913601
2015-01-16,28900,28900,27350,27550,401934,-0.053264604810996596
2015-01-19,28000,28450,27950,28150,346690,0.02177858439201441
2015-01-20,28100,28300,27700,27750,168248,-0.014209591474245165
2015-01-21,27450,27850,27400,27850,178175,0.003603603603603567
2015-01-22,27900,30500,27900,29050,685323,0.04308797127468589
2015-01-23,29050,29100,28250,28500,364530,-0.018932874354561147
2015-01-26,28500,28550,27600,27700,269049,-0.028070175438596467
2015-01-27,27650,28150,27650,28150,222580,0.016245487364620947
2015-01-28,27950,28850,27550,28750,453199,0.02131438721136769
2015-01-29,28450,28750,27800,27850,356799,-0.03130434782608693
2015-01-30,28250,28400,27150,27500,675229,-0.012567324955116699
2015-02-02,28900,28950,28150,28550,1272742,0.038181818181818095
2015-02-03,29100,30550,28850,30400,1722749,0.06479859894921192
2015-02-04,31200,31500,30100,30400,1102959,0.0
2015-02-05,29800,30650,29800,30500,477140,0.00328947368421062
2015-02-06,30800,30900,30250,30450,272218,-0.0016393442622950616
2015-02-09,30400,31000,29900,30000,305337,-0.014778325123152691
2015-02-10,30300,30350,29800,29800,196695,-0.00666666666666671
2015-02-11,29900,30200,29050,29200,568084,-0.020134228187919434
2015-02-12,29300,29500,28600,29450,316169,0.008561643835616417
2015-02-13,29650,30250,29600,29750,287622,0.01018675721561979
2015-02-16,29950,30250,29300,29500,200160,-0.008403361344537785
2015-02-17,29400,30050,29400,29550,128504,0.0016949152542373724
2015-02-23,29600,29900,29550,29650,137223,0.0033840947546530664
2015-02-24,29450,29600,28500,28550,518375,-0.03709949409780777
2015-02-25,28700,29250,28450,29100,335774,0.019264448336252293
2015-02-26,29200,29550,28900,29300,240185,0.0068728522336769515
2015-02-27,29150,29200,28850,29000,229574,-0.010238907849829393
2015-03-02,29150,29450,28950,29250,354685,0.008620689655172376
2015-03-03,29350,29750,29150,29200,465755,-0.0017094017094017033
2015-03-04,29450,30000,29300,29550,371788,0.011986301369863117
2015-03-05,29750,30450,29650,29900,431437,0.011844331641285955
2015-03-06,29950,30150,29500,29500,261912,-0.013377926421404673
2015-03-09,29350,29850,28850,29100,383135,-0.013559322033898313
2015-03-10,29200,29300,28150,28300,356107,-0.027491408934707917
2015-03-11,27850,28150,27450,27550,526602,-0.026501766784452263
2015-03-12,27700,27750,27300,27350,414979,-0.007259528130671544
2015-03-13,27550,27950,27500,27950,262692,0.021937842778793515
2015-03-16,27300,27500,26750,27000,606737,-0.03398926654740608
2015-03-17,27050,27250,26750,27000,474881,0.0
2015-03-18,27000,27150,26700,27000,298462,0.0
2015-03-19,27300,27750,27150,27500,488427,0.0185185185185186
2015-03-20,27400,27800,27250,27800,217338,0.01090909090909098
2015-03-23,28100,28150,27600,27900,248648,0.003597122302158251
2015-03-24,27900,27900,27500,27800,174356,-0.0035842293906810374
2015-03-25,27950,27950,27100,27350,275691,-0.01618705035971224
2015-03-26,27400,27500,26900,27000,358813,-0.012797074954296161
2015-03-27,27200,27300,26950,27250,292801,0.0092592592592593
2015-03-30,27200,27300,26850,26900,337647,-0.012844036697247652
2015-03-31,27000,27050,26500,26550,393214,-0.013011152416356864
2015-04-01,26500,26650,25950,26050,480372,-0.01883239171374762
2015-04-02,26150,26250,25700,25800,483544,-0.009596928982725572
2015-04-03,25800,26850,25750,26600,439058,0.03100775193798455
2015-04-06,26750,26800,26150,26300,272544,-0.011278195488721776
2015-04-07,26600,28000,26550,27900,928506,0.06083650190114076
2015-04-08,27750,27850,27350,27700,461503,-0.007168458781361964
2015-04-09,27800,27850,27400,27800,354354,0.0036101083032491488
2015-04-10,27650,28250,27600,28200,336901,0.014388489208633004
2015-04-13,28400,29150,28350,29150,491603,0.03368794326241131
2015-04-14,29700,29900,29450,29800,623575,0.022298456260720467
2015-04-15,30300,30300,29450,29750,571563,-0.001677852348993314
2015-04-16,30250,30550,29700,30000,453282,0.008403361344537785
2015-04-17,30450,30800,29900,30700,433400,0.023333333333333428
2015-04-20,30450,30650,29950,30450,618490,-0.008143322475570036
2015-04-21,30800,31200,30500,30850,363164,0.013136288998357948
2015-04-22,31100,31150,28900,29900,906336,-0.030794165316045397
2015-04-23,29900,30000,28900,29550,396800,-0.01170568561872909
2015-04-24,29750,29850,29250,29300,379659,-0.008460236886632777
2015-04-27,29500,30800,29500,30800,429318,0.05119453924914685
