Date,Open,High,Low,Close,Volume,Change
2015-01-02,24250,25550,24250,24600,10017,0.022869022869022926
2015-01-05,25150,25500,24050,24500,12815,-0.004065040650406471
2015-01-06,24550,24550,23700,23850,23222,-0.026530612244897944
2015-01-07,24200,24200,22700,22900,36622,-0.03983228511530401
2015-01-08,23200,23700,22550,22800,21722,-0.004366812227074246
2015-01-09,23500,23500,22750,22900,19771,0.004385964912280604
2015-01-12,22900,23300,22500,23000,18052,0.004366812227074135
2015-01-13,23150,23150,22600,22800,19720,-0.008695652173912993
2015-01-14,23000,23000,22400,22500,9797,-0.013157894736842146
2015-01-15,22500,22550,21900,22200,16455,-0.013333333333333308
2015-01-16,22200,24400,21700,23600,29913,0.06306306306306309
2015-01-19,24050,24050,23100,23600,11383,0.0
2015-01-20,24000,24000,23200,23350,7488,-0.010593220338983023
2015-01-21,23050,23750,22900,22900,9123,-0.01927194860813708
2015-01-22,23400,23400,22600,22600,5992,-0.013100436681222738
2015-01-23,22200,23350,22050,22600,17104,0.0
2015-01-26,22600,23400,22500,23100,10458,0.022123893805309658
2015-01-27,23400,24650,23250,24100,24041,0.04329004329004338
2015-01-28,24300,24600,23500,23650,5470,-0.018672199170124526
2015-01-29,23500,24000,23350,23650,10379,0.0
2015-01-30,24100,24100,23250,23450,6575,-0.008456659619450302
2015-02-02,23450,23500,22850,23000,13463,-0.019189765458422214
2015-02-03,23450,23900,23000,23100,13336,0.004347826086956497
2015-02-04,23700,23700,23100,23100,10400,0.0
2015-02-05,23400,23800,22850,23250,12849,0.006493506493506551
2015-02-06,23250,24600,23100,24200,28418,0.04086021505376336
2015-02-09,24450,24700,23800,24100,11412,-0.004132231404958664
2015-02-10,24000,25200,23350,24500,22562,0.016597510373443924
2015-02-11,25200,25500,24200,24500,19743,0.0
2015-02-12,24800,24800,23800,23950,9419,-0.022448979591836782
2015-02-13,23950,24650,23400,23500,14995,-0.018789144050104345
2015-02-16,24050,24050,22950,22950,10669,-0.023404255319148914
2015-02-17,22950,23450,22900,23150,7169,0.008714596949890963
2015-02-23,23150,23900,22700,23750,14898,0.02591792656587466
2015-02-24,23400,25500,23400,24500,34225,0.03157894736842115
2015-02-25,25150,28150,24650,27800,107897,0.13469387755102047
2015-02-26,28400,29600,27500,28000,63679,0.007194244604316502
2015-02-27,28000,29000,26800,27700,37298,-0.010714285714285676
2015-03-02,27750,29200,27150,28600,41635,0.032490974729241895
2015-03-03,29900,30000,29000,29250,62715,0.022727272727272707
2015-03-04,29300,29300,28350,28750,27388,-0.017094017094017144
2015-03-05,28800,28800,27400,27500,32075,-0.04347826086956519
2015-03-06,27950,28150,27350,27850,14859,0.012727272727272698
2015-03-09,27900,28050,26750,27000,28552,-0.030520646319569078
2015-03-10,27050,27500,26200,27500,25073,0.0185185185185186
2015-03-11,27000,27850,26850,27000,15392,-0.018181818181818188
2015-03-12,26700,27500,26500,27500,19158,0.0185185185185186
2015-03-13,27350,28450,27050,28100,26680,0.021818181818181737
2015-03-16,28100,32300,28000,32250,306549,0.14768683274021344
2015-03-17,33300,34000,32150,32350,103606,0.0031007751937983663
2015-03-18,32850,34750,32000,33200,101711,0.026275115919629055
2015-03-19,33550,33950,32150,32550,43415,-0.01957831325301207
2015-03-20,32000,34850,32000,32600,116077,0.001536098310291889
2015-03-23,33600,34500,32900,34200,62370,0.04907975460122693
2015-03-24,34300,36000,34300,35650,88379,0.042397660818713545
2015-03-25,35650,36400,35250,36000,47792,0.009817671809256634
2015-03-26,35900,36000,33900,34800,35231,-0.033333333333333326
2015-03-27,34850,35200,33350,33400,42440,-0.04022988505747127
2015-03-30,33450,37850,33450,37000,76302,0.10778443113772451
2015-03-31,37450,38400,36650,37200,38234,0.00540540540540535
2015-04-01,37200,38850,36250,37700,45455,0.013440860215053752
2015-04-02,37100,39450,37100,38550,58360,0.022546419098143256
2015-04-03,38600,40900,38600,39700,66540,0.0298313878080414
2015-04-06,39950,40600,39000,39450,25116,-0.006297229219143552
2015-04-07,40050,41600,38950,41300,39953,0.04689480354879594
2015-04-08,41500,41750,40300,41200,31250,-0.002421307506053294
2015-04-09,42000,42000,41000,41550,23948,0.008495145631068013
2015-04-10,41550,42000,40100,41500,40432,-0.001203369434416346
2015-04-13,42000,42000,40600,40600,30577,-0.02168674698795181
2015-04-14,40100,41400,39150,39700,34286,-0.022167487684729092
2015-04-15,39700,42750,39350,41000,57615,0.032745591939546514
2015-04-16,41000,41800,40600,41200,23959,0.004878048780487809
2015-04-17,41600,41600,40300,40900,31221,-0.007281553398058249
2015-04-20,40850,40850,39600,39900,32113,-0.02444987775061125
2015-04-21,39600,41300,39600,40650,30578,0.018796992481203034
2015-04-22,41300,45400,41300,44300,117036,0.08979089790897898
2015-04-23,45000,47400,44900,47400,108803,0.06997742663656892
2015-04-24,47800,49550,45050,46600,87561,-0.016877637130801704
2015-04-27,46650,47300,46400,46700,34816,0.0021459227467810482
2015-04-28,47000,50200,46750,49800,69169,0.06638115631691655
2015-04-29,49350,52700,49350,51900,86098,0.04216867469879526
2015-04-30,52000,54000,51200,53600,72137,0.032755298651252485
2015-05-04,53600,59600,52600,59200,79179,0.10447761194029859
2015-05-06,59800,64600,53200,58000,207611,-0.020270270270270285
2015-05-07,58900,58900,51300,52300,146781,-0.09827586206896555
2015-05-08,52900,59000,51100,58800,116383,0.124282982791587
2015-05-11,60000,60400,55800,57500,93088,-0.022108843537414935
2015-05-12,56500,60900,56500,58100,63125,0.01043478260869568
2015-05-13,59200,62000,57700,61300,45434,0.055077452667814164
2015-05-14,61300,64300,61300,63400,52262,0.034257748776509
2015-05-15,64000,64000,61500,63500,37287,0.001577287066246047
2015-05-18,65200,70000,64800,68900,77103,0.08503937007874018
2015-05-19,70500,73200,68700,73000,101204,0.05950653120464433
2015-05-20,73000,74300,68000,71600,73630,-0.019178082191780854
2015-05-21,72400,75100,71600,74000,70317,0.033519553072625774
2015-05-22,74900,76000,73500,74400,46202,0.00540540540540535
2015-05-26,74400,74400,71500,71700,42018,-0.03629032258064513
2015-05-27,70100,74900,69600,73200,57005,0.02092050209205021
2015-05-28,74500,78100,71600,77400,92967,0.05737704918032782
2015-05-29,79500,82200,77500,82000,91160,0.05943152454780365
2015-06-01,82500,85100,80400,82400,72929,0.004878048780487809
2015-06-02,83600,84000,80200,81600,43517,-0.009708737864077666
