Date,Open,High,Low,Close,Volume,Change
2020-12-07,13000,16900,13000,16900,14612630,
2020-12-08,18750,21500,18700,20300,30118130,0.20118343195266264
2020-12-09,20500,20600,17300,18350,10991239,-0.09605911330049266
2020-12-10,17400,19550,17100,17700,5721823,-0.03542234332425065
2020-12-11,18400,19050,17800,18050,3217799,0.019774011299435124
2020-12-14,17700,17900,17150,17350,1695454,-0.03878116343490301
2020-12-15,17850,22550,17700,22550,15621929,0.2997118155619596
2020-12-16,24700,26700,23350,24300,24784405,0.07760532150776056
2020-12-17,23800,31550,23450,30800,31354372,0.2674897119341564
2020-12-18,33150,40000,31850,40000,17175002,0.2987012987012987
2020-12-21,45100,52000,43850,51800,10415545,0.29499999999999993
2020-12-22,46650,61400,42400,49700,18098979,-0.04054054054054057
2020-12-23,52500,54100,42600,45700,6701473,-0.08048289738430581
2020-12-24,43600,46300,36500,41100,9516868,-0.10065645514223198
2020-12-28,40100,44500,38700,40650,5082998,-0.010948905109489093
2020-12-29,41500,42500,39400,41000,3345904,0.008610086100861114
2020-12-30,43200,49550,41150,45650,13319132,0.11341463414634156
2021-01-04,47150,48600,45650,48400,4184952,0.06024096385542177
2021-01-05,50800,52200,45800,48300,4623308,-0.0020661157024793875
2021-01-06,47100,48050,45600,46300,2079115,-0.04140786749482406
2021-01-07,42650,46100,42500,44000,3551576,-0.049676025917926525
2021-01-08,46000,49500,44550,45750,5579876,0.03977272727272729
2021-01-11,46000,46000,41800,43650,1884178,-0.04590163934426228
2021-01-12,41750,45900,41400,44850,3222156,0.027491408934707806
2021-01-13,45350,46900,43350,45100,3635149,0.00557413600891854
2021-01-14,45150,47400,44200,47300,3152261,0.04878048780487809
2021-01-15,47200,47650,44500,44600,2057698,-0.05708245243128962
2021-01-18,44000,45400,42850,43100,1154035,-0.03363228699551568
2021-01-19,43000,44800,42050,43450,1148682,0.008120649651972123
2021-01-20,44650,44750,43100,43150,732591,-0.0069044879171461515
2021-01-21,43100,45200,42150,45100,1657491,0.04519119351100809
2021-01-22,44500,45000,43350,43700,937075,-0.03104212860310418
2021-01-25,43450,44350,43300,43350,638850,-0.008009153318077833
2021-01-26,43950,44050,42150,42200,767103,-0.026528258362168433
2021-01-27,42400,42750,39650,39850,1187179,-0.055687203791469186
2021-01-28,37500,38700,37000,37100,1035370,-0.06900878293600998
2021-01-29,37500,38250,35000,35400,861061,-0.04582210242587603
2021-02-01,34700,39400,33700,37050,1683283,0.04661016949152552
2021-02-02,38000,38500,37000,37650,579410,0.0161943319838056
2021-02-03,38400,40350,37900,39300,1461343,0.043824701195219085
2021-02-04,39400,39600,37900,38000,525369,-0.0330788804071247
2021-02-05,38000,41350,36650,37550,2443213,-0.011842105263157876
2021-02-08,36550,37050,35900,36000,447561,-0.04127829560585883
2021-02-09,36100,37750,35100,36350,1077350,0.009722222222222188
2021-02-10,36650,37050,35950,36050,400912,-0.008253094910591452
2021-02-15,35900,36800,35350,35850,449466,-0.00554785020804438
2021-02-16,35900,36650,35050,35200,776698,-0.018131101813110173
2021-02-17,35000,35550,34450,34450,452070,-0.021306818181818232
2021-02-18,34250,43050,33800,40150,16560548,0.16545718432510892
2021-02-19,40150,42200,36350,36750,3254311,-0.08468244084682441
2021-02-22,36800,37250,35000,35000,1075640,-0.04761904761904767
2021-02-23,33900,34300,32750,33000,911399,-0.05714285714285716
2021-02-24,32400,33000,31450,31500,651356,-0.045454545454545414
