Date,Open,High,Low,Close,Volume,Change
2015-01-02,22450,22750,22000,22500,58776,-0.004424778761061954
2015-01-05,22650,22700,22100,22200,64765,-0.013333333333333308
2015-01-06,22300,22400,21950,22300,76522,0.0045045045045044585
2015-01-07,22300,22500,21750,21900,79780,-0.017937219730941756
2015-01-08,22000,22000,21300,21700,94051,-0.0091324200913242
2015-01-09,21600,21900,21000,21350,124001,-0.016129032258064502
2015-01-12,21500,21500,20850,21000,133852,-0.016393442622950838
2015-01-13,21000,21950,20800,21900,111959,0.04285714285714293
2015-01-14,21700,22150,21600,21950,62150,0.0022831050228311334
2015-01-15,21750,23000,21750,22850,142022,0.04100227790432798
2015-01-16,22900,23200,22650,23150,97743,0.013129102844638973
2015-01-19,22800,23150,22800,23000,44972,-0.006479481641468721
2015-01-20,23000,23250,22700,23250,54353,0.010869565217391353
2015-01-21,23250,23250,22800,22800,56911,-0.01935483870967747
2015-01-22,23000,23200,22600,22950,114814,0.006578947368421018
2015-01-23,22900,23150,22650,23100,45838,0.006535947712418277
2015-01-26,22900,23300,22900,23200,73229,0.0043290043290042934
2015-01-27,23100,23300,22900,23150,67407,-0.0021551724137931494
2015-01-28,22850,23200,22800,23200,88491,0.002159827213822796
2015-01-29,23300,24100,22900,23150,119449,-0.0021551724137931494
2015-01-30,23250,23650,22800,23200,65274,0.002159827213822796
2015-02-02,23000,23800,22950,23300,58606,0.004310344827586299
2015-02-03,23300,23800,23200,23750,113501,0.0193133047210301
2015-02-04,23800,24450,23500,23600,193793,-0.0063157894736841635
2015-02-05,23650,23850,23350,23400,66306,-0.008474576271186418
2015-02-06,23400,24050,23250,23550,113027,0.0064102564102563875
2015-02-09,23750,24500,23450,23500,201604,-0.002123142250530785
2015-02-10,23700,24500,23500,23600,243449,0.004255319148936065
2015-02-11,23800,27100,23750,27000,706130,0.14406779661016955
2015-02-12,27500,28600,26700,28000,527864,0.03703703703703698
2015-02-13,27650,28100,27100,27850,259834,-0.005357142857142838
2015-02-16,27850,28000,26850,26900,229220,-0.03411131059245964
2015-02-17,27050,27050,25750,26500,304574,-0.014869888475836479
2015-02-23,26400,26950,26250,26550,139228,0.0018867924528302993
2015-02-24,26350,30500,26350,30500,786940,0.1487758945386064
2015-02-25,30500,30750,28950,29150,478536,-0.04426229508196722
2015-02-26,29550,29800,28350,28350,476916,-0.027444253859348233
2015-02-27,28700,29800,28350,28850,343518,0.01763668430335108
2015-03-02,28950,29350,28100,28450,159366,-0.013864818024263426
2015-03-03,28350,28500,27600,28100,229099,-0.012302284710017597
2015-03-04,28100,30550,28000,29050,409819,0.03380782918149472
2015-03-05,29100,30300,28850,29550,200974,0.01721170395869187
2015-03-06,29900,30000,29100,29650,263195,0.0033840947546530664
2015-03-09,29650,30000,28500,28650,181297,-0.033726812816188834
2015-03-10,28500,29100,28000,28500,150273,-0.005235602094240788
2015-03-11,28150,28850,28100,28250,113763,-0.00877192982456143
2015-03-12,28200,29050,28200,28750,96649,0.017699115044247815
2015-03-13,28750,29350,28600,28750,115591,0.0
2015-03-16,28400,28600,26700,26700,644243,-0.07130434782608697
2015-03-17,26600,27050,25850,26400,527207,-0.011235955056179803
2015-03-18,26700,26800,26050,26650,259023,0.009469696969697017
2015-03-19,26800,27150,26300,27100,175173,0.016885553470919357
2015-03-20,27100,27200,26650,26700,181805,-0.014760147601476037
2015-03-23,26700,27300,26200,26850,222371,0.00561797752808979
2015-03-24,26950,28000,26850,28000,238497,0.04283054003724396
2015-03-25,28500,28800,27600,28100,214849,0.0035714285714285587
2015-03-26,28100,28650,28050,28500,178921,0.014234875444839812
2015-03-27,28900,29650,28650,28750,212095,0.00877192982456143
2015-03-30,28750,29400,28700,29200,114218,0.01565217391304352
2015-03-31,29450,31600,28850,30600,483189,0.047945205479452024
2015-04-01,30400,34500,30350,31800,742792,0.03921568627450989
2015-04-02,32300,32650,30850,31700,305271,-0.0031446540880503138
2015-04-03,31650,32950,31200,32050,196648,0.011041009463722329
2015-04-06,31700,33400,31500,32650,246051,0.018720748829953227
2015-04-07,33050,33500,32750,33400,291299,0.02297090352220521
2015-04-08,33450,33600,32400,32950,323087,-0.013473053892215536
2015-04-09,33300,36000,32700,35000,799536,0.06221547799696503
2015-04-10,35100,35900,34200,34400,339336,-0.017142857142857126
2015-04-13,34400,34750,32500,34000,530559,-0.011627906976744207
2015-04-14,33200,33800,32250,32900,464797,-0.032352941176470584
2015-04-15,32650,33050,31700,32550,525271,-0.010638297872340385
2015-04-16,32650,34000,32200,33850,515854,0.03993855606758823
2015-04-17,33400,34100,32600,32600,442190,-0.03692762186115217
2015-04-20,32100,32500,31300,31750,449397,-0.0260736196319018
2015-04-21,31950,32200,31100,31300,279838,-0.014173228346456734
2015-04-22,31850,32000,30350,31450,328683,0.004792332268370503
2015-04-23,31050,31750,30300,31150,291668,-0.009538950715421324
2015-04-24,31450,33000,31150,31650,393183,0.01605136436597121
2015-04-27,31600,33150,31600,33050,370323,0.04423380726698256
2015-04-28,33400,33850,32800,33100,350845,0.001512859304084735
2015-04-29,32700,34200,32700,33950,333382,0.025679758308157163
2015-04-30,34050,34050,33050,33200,219179,-0.022091310751104598
2015-05-04,32950,33400,32500,32500,129784,-0.02108433734939763
2015-05-06,32300,32450,31550,31800,195836,-0.021538461538461506
2015-05-07,31300,31900,30750,31700,169243,-0.0031446540880503138
2015-05-08,32000,32450,31450,31600,120891,-0.003154574132492094
2015-05-11,32200,33600,32050,33500,269677,0.06012658227848111
2015-05-12,33400,33900,32500,32550,206624,-0.028358208955223896
2015-05-13,32150,32800,31550,31550,262377,-0.030721966205837226
2015-05-14,31600,32550,31450,32500,173412,0.030110935023771823
2015-05-15,32700,33050,32350,32700,136304,0.006153846153846176
2015-05-18,32550,32700,31650,32200,142359,-0.015290519877675823
2015-05-19,32050,33600,31600,33100,247702,0.02795031055900621
2015-05-20,33100,33600,32850,33250,150581,0.004531722054380571
2015-05-21,33300,33550,32400,32400,176713,-0.025563909774436122
2015-05-22,32750,33200,31900,32550,166506,0.004629629629629539
