Date,Open,High,Low,Close,Volume,Change
2018-10-02,27452,35068,27406,30234,19162459,
2018-10-04,29595,31830,27634,28000,4121197,-0.07389032215386648
2018-10-05,28364,30918,27726,28866,4636814,0.030928571428571416
2018-10-08,28501,29504,27087,27088,1321816,-0.061594956003602874
2018-10-10,27178,28136,25446,25720,1259752,-0.05050206733608975
2018-10-11,24579,24807,22892,23166,1062452,-0.09930015552099536
2018-10-12,23074,24306,22618,23759,864750,0.025597858931192263
2018-10-15,24260,24306,22801,22892,553680,-0.036491434824697966
2018-10-16,23485,27315,23485,25993,3528864,0.13546217019045947
2018-10-17,26494,26631,24579,25355,906137,-0.02454506982649174
2018-10-18,25446,26084,24716,24899,565881,-0.017984618418457887
2018-10-19,25491,26631,24853,25720,1698497,0.03297321177557322
2018-10-22,26130,26175,25537,25948,579583,0.008864696734059097
2018-10-23,25354,25446,23713,23896,623578,-0.07908123940188072
2018-10-24,24306,24488,22253,22619,482222,-0.05343990626046202
2018-10-25,21113,22253,21068,21889,419281,-0.03227375215526773
2018-10-26,22253,22345,20247,20567,350630,-0.06039563250947966
2018-10-29,20475,20885,18560,18560,447427,-0.09758350756065537
2018-10-30,18240,19380,17465,18971,463683,0.022144396551724066
2018-10-31,19472,21797,18514,20065,1019938,0.0576669653681936
2018-11-01,20384,21387,20156,20430,462349,0.01819087964116628
2018-11-02,20657,21752,20521,21524,452132,0.05354870288791003
2018-11-05,21341,21615,21022,21159,182693,-0.0169578145326148
2018-11-06,21569,22481,20977,21615,411437,0.02155111300155954
2018-11-07,22253,22345,21250,21342,290114,-0.012630117973629451
2018-11-08,21934,22801,21934,22664,476041,0.06194358541842382
2018-11-09,23211,23986,22071,22072,536776,-0.026120720084715887
2018-11-12,21706,22025,20657,20886,210955,-0.05373323667995655
2018-11-13,20338,21022,19836,20931,158762,0.0021545532892845998
2018-11-14,21341,21524,20566,20795,222665,-0.006497539534661478
2018-11-15,20931,21341,20156,20795,153539,0.0
2018-11-16,21113,21706,21022,21205,271974,0.019716277951430605
2018-11-19,21341,21706,21250,21661,202864,0.021504362178731418
2018-11-20,21068,21569,20977,21114,183222,-0.025252758413738974
2018-11-21,20977,20977,20065,20703,183146,-0.01946575731741973
2018-11-22,20794,20977,20156,20156,155727,-0.026421291600251195
2018-11-23,20338,20384,19791,19974,124509,-0.00902956935899979
2018-11-26,19654,20293,19654,20065,108909,0.004555922699509329
2018-11-27,20247,20931,20019,20293,204750,0.011363070022427202
2018-11-28,20384,20931,20247,20521,144945,0.011235401369930509
2018-11-29,20794,21250,20521,20931,219341,0.019979533161152085
2018-11-30,21113,21889,21022,21798,370869,0.04142181453346705
2018-12-03,22481,23393,22208,22710,581998,0.04183870079823837
2018-12-04,22846,23074,22117,22345,206719,-0.016072214883311342
2018-12-05,21752,22983,21661,22938,230872,0.026538375475497977
2018-12-06,22937,22983,22025,22345,190086,-0.025852297497602206
2018-12-07,22709,22937,22253,22436,117739,0.004072499440590738
2018-12-10,22162,22755,21889,22208,122786,-0.010162239258334815
2018-12-11,22527,22709,21022,21205,150130,-0.045163904899135465
2018-12-12,21387,22071,21296,21889,91792,0.03225654326809724
2018-12-13,21889,22345,21478,22072,102714,0.008360363652976321
2018-12-14,21889,22071,21387,21479,98101,-0.026866618339978277
2018-12-17,21341,21433,19882,20703,123925,-0.036128311373900046
2018-12-18,20338,20840,16416,19837,907529,-0.041829686518861986
2018-12-19,20201,20338,19426,19883,168990,0.002318899027070609
2018-12-20,19608,20338,19335,19700,106081,-0.009203842478499258
2018-12-21,19608,20429,19472,20339,113017,0.03243654822335018
2018-12-24,20247,20612,20019,20065,71048,-0.013471655440287167
2018-12-26,19791,19882,19380,19563,100499,-0.025018689259905358
2018-12-27,19973,20338,19836,20065,91744,0.025660685988856624
2018-12-28,20338,20977,20110,20521,110769,0.02272614004485418
2019-01-02,20840,21615,20110,20247,109789,-0.013352175819891787
2019-01-03,20110,20566,19426,19746,115206,-0.02474440657875243
2019-01-04,19563,20019,19198,19974,131561,0.011546642357946002
