Date,Open,High,Low,Close,Volume,Change
2017-12-08,149500,194000,149500,194000,68343,
2017-12-11,222000,249000,214000,248500,684631,0.2809278350515463
2017-12-12,242500,246500,222500,235000,286513,-0.05432595573440646
2017-12-13,235000,242500,228000,235000,94609,0.0
2017-12-14,236000,236500,221500,234000,118532,-0.004255319148936176
2017-12-15,230000,242000,230000,236500,63106,0.010683760683760646
2017-12-18,240000,240000,233000,238000,25868,0.00634249471458781
2017-12-19,237000,238000,225500,227000,37388,-0.04621848739495793
2017-12-20,225500,227500,222500,225500,43299,-0.0066079295154185536
2017-12-21,225000,226000,220500,220500,48028,-0.022172949002217335
2017-12-22,224500,224500,217000,219500,21824,-0.0045351473922902175
2017-12-26,217500,221500,215000,219000,19031,-0.002277904328018221
2017-12-27,216000,218500,209000,212500,19265,-0.029680365296803624
2017-12-28,210500,213000,209500,210000,28678,-0.0117647058823529
2018-01-02,212500,212500,208500,210500,43076,0.0023809523809523725
2018-01-03,205500,208500,201500,202500,39089,-0.038004750593824244
2018-01-04,203000,203500,200500,200500,49743,-0.00987654320987652
2018-01-05,202500,202500,196500,200000,29452,-0.0024937655860348684
2018-01-08,200000,201000,199000,199000,26055,-0.0050000000000000044
2018-01-09,199000,207000,195500,206000,38911,0.035175879396984966
2018-01-10,207000,211500,203500,210500,42692,0.02184466019417486
2018-01-11,212000,213000,204000,208500,46884,-0.009501187648456089
2018-01-12,209000,209500,200500,201500,42666,-0.033573141486810565
2018-01-15,202000,208000,199000,206000,28168,0.022332506203474045
2018-01-16,206000,211000,205500,210000,32777,0.01941747572815533
2018-01-17,208000,219500,208000,218000,30967,0.03809523809523818
2018-01-18,215500,221000,213500,221000,15647,0.013761467889908285
2018-01-19,217500,221500,215000,215000,10446,-0.02714932126696834
2018-01-22,218000,218000,206000,209000,25762,-0.027906976744186074
2018-01-23,207000,214500,207000,214000,17581,0.02392344497607657
2018-01-24,214000,221500,212500,219000,18102,0.02336448598130847
2018-01-25,215000,219000,214500,218500,16113,-0.0022831050228310223
2018-01-26,216500,227000,216500,220000,22580,0.006864988558352492
2018-01-29,220000,227500,220000,227000,31219,0.031818181818181746
2018-01-30,228500,232000,217000,217500,32415,-0.04185022026431717
2018-01-31,217500,220000,212500,220000,42255,0.011494252873563315
2018-02-01,220000,221000,216000,218000,14143,-0.009090909090909038
2018-02-02,218000,221000,213000,214000,17661,-0.01834862385321101
2018-02-05,218000,221000,210000,212000,24307,-0.009345794392523366
2018-02-06,211500,213500,205000,209500,31337,-0.011792452830188704
2018-02-07,209000,210500,206500,206500,26237,-0.014319809069212375
2018-02-08,203500,209500,203500,206000,21050,-0.002421307506053294
2018-02-09,204000,211500,202000,210500,28746,0.02184466019417486
2018-02-12,209000,211500,206500,210500,12513,0.0
2018-02-13,209000,211000,197000,199000,41843,-0.05463182897862229
